， 32245013
　 30062427
的 29013519
  16748109
。 13683015
了 6831561
是 6555677
我 4742553
在 4546449
他 3237389
人 2645177
也 2547898
和 2268775
. 2224973
有 2180047
都 2168500
你 2076744
一个 2064200
不 2056423
就 1984836
这 1913318
她 1805278
电影 1766744
- 1766427
自己 1661881
“ 1652966
” 1645905
、 1551795
说 1455377
？ 1395000
很 1375748
没有 1362170
中 1339958
, 1335468
》 1326280
《 1324817
而 1275055
我们 1271864
让 1270265
着 1250119
会 1164479
！ 1154621
看 1133508
对 1121344
被 1107463
上 1053120
就是 1008738
那 978996
： 968647
这个 964366
里 961418
与 916397
但 910872
他们 853425
去 852995
到 852215
又 843858
要 804845
还是 793331
时候 780485
不是 779112
还 776112
却 772689
可以 772494
想 729750
什么 713616
因为 693891
这样 688526
好 666421
地 660301
能 657386
最后 653234
把 652596
故事 624525
给 623758
影片 620641
但是 620083
知道 613592
过 585470
一 582297
） 579107
（ 572656
觉得 561097
从 558342
最 556905
来 549741
只是 548769
个 544048
这部 543628
为 538222
时 533334
喜欢 532242
那个 520079
像 507524
吧 500737
看到 496883
那么 493748
当 484273
得 478534
做 473790
啊 470839
开始 469837
后 466109
它 460959
； 458003
才 455995
其实 446012
导演 445946
如果 445263
所以 440922
并 434283
一样 425698
更 418403
已经 409240
…… 407648
用 404328
多 398504
大 393866
~ 384341
呢 382135
一部 380927
片子 379641
一种 372260
再 372243
为了 357441
还有 353380
下 353197
感觉 351747
没 351725
之 348978
一直 345511
这种 339616
将 337852
; 337434
小 335820
—— 330872
很多 327665
真的 326674
一起 319600
太 317827
& 314571
the 313154
那些 312929
可能 312626
只 312568
虽然 311311
不会 309422
不能 307053
吗 295745
死 293373
之后 293043
不过 292649
以 290287
一切 289742
也许 287132
两个 279731
应该 277690
这些 276427
然后 273689
这么 271547
们 270583
孩子 268880
可是 268344
跟 267622
现在 266845
谁 256331
观众 253841
只有 253124
对于 252504
东西 247784
出现 246843
/ 243942
所 242346
· 240749
= 240148
出来 239687
: 239496
为什么 239305
怎么 238901
选择 237600
甚至 236020
时间 234929
前 233410
现实 228769
镜头 227872
发现 225508
无法 224582
一次 222811
于 221667
比 221446
所有 220149
需要 219798
如此 214265
于是 211998
一些 211685
问题 209439
出 206681
情节 202234
或者 201923
有些 200651
a 200385
成为 199206
走 197769
女 196238
完全 195530
看完 195387
剧情 194903
当然 193478
一点 193266
人物 192201
可 192179
quot 189311
作为 188299
事情 187549
总是 187225
等 183007
一定 182106
带 180598
角色 180383
非常 180218
真正 179806
里面 177589
b 177111
每个 176692
而且 176323
老 176175
成 174969
有点 174864
别人 173396
地方 172572
似乎 172005
结局 169227
表现 169227
点 169082
片 168426
不同 167571
男 167001
只能 166989
大家 166396
终于 165764
找 164910
存在 164885
人们 164383
以为 163846
后来 163715
之前 163630
认为 162813
或许 162788
戏 162200
最终 161558
i 161014
事 159570
那样 157955
拍 157642
写 157462
起来 157252
来说 156380
如 156272
演员 154259
you 152983
的话 152418
话 152259
理解 151758
而是 151597
to 150988
那种 150958
告诉 150102
关于 149713
以及 149586
不要 149566
叫 148992
个人 148954
and 148520
发生 148511
这里 148233
么 146389
之间 145713
一句 144127
面对 143567
明白 143109
3 142991
一下 142713
其 142548
[ 142143
有人 141604
看着 141434
看过 140576
离开 140486
另 139419
结果 138511
向 135883
得到 135275
重要 134944
一段 134654
? 133768
能够 132679
整个 130868
比较 130300
听 129495
过去 129427
两 129217
方式 128478
新 128442
真 128253
变成 128187
讲 127831
如何 127390
即使 127248
of 126723
任何 126500
问 126328
想要 126227
然而 124638
或 124370
不错 123639
心里 123346
主角 122118
突然 121959
记得 119660
便 119534
总 119309
@ 119130
打 118991
连 118712
除了 118686
同时 118508
片中 118459
找到 118209
太多 117960
同样 117602
场景 117077
真是 116300
你们 116149
关系 116066
实在 115362
原来 114738
1 114544
是因为 114531
则 114490
儿子 114013
回到 112738
失去 112619
几个 112496
吃 112463
本片 112166
作品 111827
过程 111656
主 111052
演 110882
当时 110655
! 109767
多少 109267
好像 109051
所谓 108951
特别 108708
想起 108364
